arch,seed,metric,accuracy
chebyshev,42,blimp,63.42
chebyshev,43,blimp,62.51
chebyshev,44,blimp,62.62
chebyshev,45,blimp,62.31
chebyshev,46,blimp,63.28
chebyshev,47,blimp,62.34
chebyshev,48,blimp,62.96
chebyshev,49,blimp,62.15
chebyshev,50,blimp,63.59
chebyshev,51,blimp,62.47
chebyshev,42,blimp_supplement,53.99
chebyshev,43,blimp_supplement,53.22
chebyshev,44,blimp_supplement,54.84
chebyshev,45,blimp_supplement,54.23
chebyshev,46,blimp_supplement,53.85
chebyshev,47,blimp_supplement,54.01
chebyshev,48,blimp_supplement,53.1
chebyshev,49,blimp_supplement,54.32
chebyshev,50,blimp_supplement,54.07
chebyshev,51,blimp_supplement,53.85
chebyshev,42,ewok,50.45
chebyshev,43,ewok,50.18
chebyshev,44,ewok,48.64
chebyshev,45,ewok,49.27
chebyshev,46,ewok,49.36
chebyshev,47,ewok,50.36
chebyshev,48,ewok,50.36
chebyshev,49,ewok,50.18
chebyshev,50,ewok,49.64
chebyshev,51,ewok,48.91
grkan,42,blimp,63.48
grkan,43,blimp,62.95
grkan,44,blimp,63.1
grkan,45,blimp,62.74
grkan,46,blimp,62.53
grkan,47,blimp,63.77
grkan,48,blimp,63.22
grkan,49,blimp,63.07
grkan,50,blimp,63.57
grkan,51,blimp,62.88
grkan,42,blimp_supplement,53.81
grkan,43,blimp_supplement,54.16
grkan,44,blimp_supplement,54.5
grkan,45,blimp_supplement,53.11
grkan,46,blimp_supplement,53.42
grkan,47,blimp_supplement,54.25
grkan,48,blimp_supplement,53.59
grkan,49,blimp_supplement,54.72
grkan,50,blimp_supplement,54.1
grkan,51,blimp_supplement,54.59
grkan,42,ewok,50.27
grkan,43,ewok,49.36
grkan,44,ewok,50.09
grkan,45,ewok,50.27
grkan,46,ewok,50.91
grkan,47,ewok,50.55
grkan,48,ewok,50.36
grkan,49,ewok,52.0
grkan,50,ewok,49.55
grkan,51,ewok,50.27
grkan_square,42,ewok,51.0
grkan_square,43,ewok,49.45
grkan_square,44,ewok,50.0
grkan_square,45,ewok,49.45
grkan_square,46,ewok,50.82
kan_grid2,42,ewok,50.73
kan_grid2,43,ewok,49.73
kan_grid2,44,ewok,51.09
kan_grid2,45,ewok,50.64
kan_grid2,46,ewok,50.45
kat_grid2,42,ewok,51.55
kat_grid2,43,ewok,50.0
kat_grid2,44,ewok,49.64
mlp,42,blimp,61.78
mlp,43,blimp,62.7
mlp,44,blimp,62.9
mlp,45,blimp,63.05
mlp,46,blimp,62.47
mlp,47,blimp,61.51
mlp,48,blimp,62.16
mlp,49,blimp,63.13
mlp,50,blimp,62.04
mlp,51,blimp,62.7
mlp,42,blimp_supplement,54.84
mlp,43,blimp_supplement,54.78
mlp,44,blimp_supplement,53.99
mlp,45,blimp_supplement,54.57
mlp,46,blimp_supplement,54.16
mlp,47,blimp_supplement,54.41
mlp,48,blimp_supplement,55.34
mlp,49,blimp_supplement,54.14
mlp,50,blimp_supplement,53.96
mlp,51,blimp_supplement,54.01
mlp,42,ewok,49.73
mlp,43,ewok,48.73
mlp,44,ewok,49.27
mlp,45,ewok,49.55
mlp,46,ewok,50.27
mlp,47,ewok,49.45
mlp,48,ewok,49.27
mlp,49,ewok,50.09
mlp,50,ewok,49.82
mlp,51,ewok,51.55
mlpedge_h5,42,ewok,50.82
mlpedge_h5,43,ewok,50.0
mlpedge_h5,44,ewok,47.91
mlpedge_h8,42,ewok,49.82
mlpedge_h8,43,ewok,51.73
mlpedge_h8,44,ewok,50.27
mlpedge_h8,45,ewok,48.55
mlpedge_h8,46,ewok,50.09
swiglu,42,blimp,62.68
swiglu,43,blimp,63.07
swiglu,44,blimp,63.61
swiglu,45,blimp,63.56
swiglu,46,blimp,62.37
swiglu,47,blimp,63.88
swiglu,48,blimp,62.38
swiglu,49,blimp,62.61
swiglu,50,blimp,62.44
swiglu,51,blimp,63.67
swiglu,42,blimp_supplement,53.66
swiglu,43,blimp_supplement,53.39
swiglu,44,blimp_supplement,54.38
swiglu,45,blimp_supplement,53.54
swiglu,46,blimp_supplement,53.16
swiglu,47,blimp_supplement,54.03
swiglu,48,blimp_supplement,54.43
swiglu,49,blimp_supplement,54.12
swiglu,50,blimp_supplement,54.96
swiglu,51,blimp_supplement,55.4
swiglu,42,ewok,50.64
swiglu,43,ewok,51.0
swiglu,44,ewok,49.27
swiglu,45,ewok,50.55
swiglu,46,ewok,49.82
swiglu,47,ewok,51.0
swiglu,48,ewok,51.09
swiglu,49,ewok,49.73
swiglu,50,ewok,49.36
swiglu,51,ewok,49.64
